estrutura,n,adicionar,remover,aumentar,diminuir
Pilha (LinkedList),1150,0.0008346429995071958,0.0004438109999682638,0.0015862019999985932,0.0007587149993923958
Pilha (LinkedList),1200,0.0009079910005311831,0.00047114900007727556,0.0017059289993994753,0.0007694059995628777
Pilha (LinkedList),1250,0.0008226770005421713,0.0004313039999033208,0.0019669169996632263,0.0008812809992377879
Pilha (LinkedList),1300,0.0008229459999711253,0.00045614300051965984,0.0016372519994547474,0.0008670619999975315
Pilha (LinkedList),1350,0.0009952259997589863,0.0009431970001969603,0.0028931619999639224,0.000907672999346687
Pilha (LinkedList),1400,0.0009049199998116819,0.0004673140001614229,0.002088095000544854,0.0012627829992197803
Pilha (LinkedList),1450,0.0009175060004054103,0.00048523199984629173,0.003096667999670899,0.0012122420002924628
Pilha (LinkedList),1500,0.0010285029993610806,0.0005497230004039011,0.001957993999894825,0.0009635240003262879
Pilha (LinkedList),1550,0.001338347000455542,0.0006601400000363356,0.0035633479992611683,0.0015079169997989084
Pilha (LinkedList),1600,0.0010894470005951007,0.0005752329998358618,0.0027899249998881714,0.0010930130001725047
Pilha (LinkedList),1650,0.001119165999625693,0.0006926679998287,0.0029180000001360895,0.001100548000067647
Pilha (LinkedList),1700,0.0014498900000035064,0.0005463859997689724,0.0029354950002016267,0.0018109410002580262
Pilha (LinkedList),1750,0.0018752920004772022,0.0005644880002364516,0.06353687800037733,0.0014971159998822259
Pilha (LinkedList),1800,0.001514548000159266,0.0007501609998143977,0.003535214999828895,0.0016858110002431204
Pilha (LinkedList),1850,0.002257063999422826,0.0006825410000601551,0.003049157000532432,0.001200673999846913
Pilha (LinkedList),1900,0.0012458279998099897,0.0006660399994871113,0.005708579999918584,0.0012542570002551656
Pilha (LinkedList),1950,0.0012690209996435442,0.0006905999998707557,0.003427179000027536,0.0014473559995167307
Pilha (LinkedList),2000,0.0022340899995469954,0.000635213999885309,0.0029218480003692093,0.0012157229994045338
Pilha (LinkedList),2050,0.0012069290005456423,0.0006802600000810344,0.003912442000000738,0.001270544000362861
Pilha (LinkedList),2100,0.00123342999995657,0.0006721090003338759,0.002544099999795435,0.0015981619999365648
Pilha (LinkedList),2150,0.0013481549995049136,0.0013015989998166333,0.002638432000821922,0.0011935880002056365
Pilha (LinkedList),2200,0.0013879379994250485,0.0008273249995909282,0.005901307000385714,0.0014856660000077682
Pilha (LinkedList),2250,0.001461890999962634,0.0007390399996438646,0.06524939599967183,0.0017689390006125905
Pilha (LinkedList),2300,0.0018282440005350509,0.0008797330001470982,0.003576500000235683,0.0028379730001688586
Pilha (LinkedList),2350,0.001777567999852181,0.001563302999784355,0.0030688800006828387,0.0014891000000716303
Pilha (LinkedList),2400,0.0016931189993556472,0.000786311000410933,0.004018247000203701,0.001556186999550846
Pilha (LinkedList),2450,0.0016707479999240604,0.0008839409993015579,0.0036824339995291666,0.0015580270001009922
Pilha (LinkedList),2500,0.0017257509998671594,0.0008608979997006827,0.003118042000096466,0.0014650720004283357
Pilha (LinkedList),2550,0.0015409269999508979,0.0008876349993443,0.004391804999613669,0.0015932249998513726
Pilha (LinkedList),2600,0.0016017380003177095,0.0008375600000363193,0.0036900989998684963,0.0016670280001562787
Pilha (LinkedList),2650,0.001856931000475015,0.0009234829994966276,0.06866621900007885,0.0021938789996056585
Pilha (LinkedList),2700,0.002116466000188666,0.0010659059998943121,0.00423140200018679,0.002227721999588539
Pilha (LinkedList),2750,0.002376702999754343,0.0010018479997597751,0.00411744200027897,0.0016238280004472472
Pilha (LinkedList),2800,0.002382406999458908,0.0016137359998538159,0.0035540830003810697,0.0016515350007466623
Pilha (LinkedList),2850,0.002254291000099329,0.0011419619995649555,0.004461616999833495,0.0017654539997238317
Pilha (LinkedList),2900,0.001807003999601875,0.001119905999985349,0.004730620999907842,0.0018292889999429462
Pilha (LinkedList),2950,0.0019111409992547124,0.001081632999557769,0.0038223479996304377,0.0018162619999202434
Pilha (LinkedList),3000,0.002108956000483886,0.0009776100005183253,0.062061564000032376,0.002084484000079101
Pilha (LinkedList),3050,0.0022208020000107354,0.0013496339997800533,0.005677359999936016,0.001985370000511466
Pilha (LinkedList),3100,0.0027610819997789804,0.0019531110001480556,0.0042758409999805735,0.0018738239996309858
Pilha (LinkedList),3150,0.003109010000116541,0.002117071000611759,0.004652491000342707,0.003618517000177235
Pilha (LinkedList),3200,0.003397724000024027,0.001053429999956279,0.007463293000000704,0.002203234000262455
Pilha (LinkedList),3250,0.0020473730000958312,0.0018421349996060599,0.006003624999721069,0.002439621000121406
Pilha (LinkedList),3300,0.002058865000435617,0.0018567850002000341,0.06807721899986063,0.002790110000205459
Pilha (LinkedList),3350,0.0026595500003168127,0.0016291070005536312,0.006112465000114753,0.0021799139994982397
Pilha (LinkedList),3400,0.002463312000145379,0.0014054449993636808,0.004601585999807867,0.002269720999720448
Pilha (LinkedList),3450,0.0023204730005090823,0.0016117739996843738,0.004560843000035675,0.0021373009994931635
Pilha (LinkedList),3500,0.0024006290004763287,0.001419658000486379,0.005153780999535229,0.002308115999767324
Pilha (LinkedList),3550,0.0026270370008205646,0.001305060000049707,0.00453269699937664,0.00216715100032161
Pilha (LinkedList),3600,0.0026414269996166695,0.0018224110008304706,0.005700415000319481,0.0026698339997892617
Pilha (LinkedList),3650,0.002779586000542622,0.0018459060001987382,0.004964061000464426,0.002817624999806867
Pilha (LinkedList),3700,0.0026367009995738044,0.0016458929994769278,0.005654066999341012,0.002421155999400071
Pilha (LinkedList),3750,0.002453478000461473,0.0013230770000518532,0.005654765999679512,0.0025777109995033243
Pilha (LinkedList),3800,0.0024772550004854565,0.0012886380000054487,0.006795603999307787,0.0023984370000107447
Pilha (LinkedList),3850,0.0023569309996673837,0.0018374669998593163,0.06514975800018874,0.0029591620004794095
Pilha (LinkedList),3900,0.0028854250003860216,0.0015251929999067215,0.006294834000073024,0.002483096999640111
Pilha (LinkedList),3950,0.0033624899997448665,0.001957055999810109,0.005266547000246646,0.002985651000017242
Pilha (LinkedList),4000,0.002547285000218835,0.0013144470003680908,0.00607736600068165,0.002914519000114524
Pilha (LinkedList),4050,0.005196264000005613,0.003180173000146169,0.011632922999524453,0.005285039000227698
Pilha (LinkedList),4100,0.005929539999669942,0.003139665999697172,0.06826609800009464,0.003827047999948263
Pilha (LinkedList),4150,0.005188952000025893,0.00290291100009199,0.0085822389992245,0.0030254319999585277
Pilha (LinkedList),4200,0.0026956039992001024,0.0014793459995416924,0.006859830999928818,0.0025590870000087307
Pilha (LinkedList),4250,0.003205539000191493,0.0033730989998730365,0.005907011999624956,0.00443726899993635
Pilha (LinkedList),4300,0.0027875579999090405,0.0012959999994563987,0.008731400999749894,0.002512856999601354
Pilha (LinkedList),4350,0.003812285000094562,0.0018911490005848464,0.006858874000499782,0.002881829000216385
Pilha (LinkedList),4400,0.002943563000371796,0.003265757999542984,0.006187453999700665,0.0033293920005235123
Pilha (LinkedList),4450,0.0029748879996986943,0.0014838340002825134,0.007718683999883069,0.0029067260002193507
Pilha (LinkedList),4500,0.002694751000490214,0.003006041999469744,0.006822373999966658,0.0033963699997912045
Pilha (LinkedList),4550,0.00323585899968748,0.001420394999513519,0.008185959000002185,0.00325763300043036
Pilha (LinkedList),4600,0.0031593140001859865,0.002126971000507183,0.006367240000145102,0.0026660739995350013
Pilha (LinkedList),4650,0.0033483629995316733,0.001660822999838274,0.008440751999842178,0.003058658000554715
Pilha (LinkedList),4700,0.003079936000176531,0.001593139000760857,0.00684002399975725,0.0028530340005090693
Pilha (LinkedList),4750,0.003360393000548356,0.0016553839996049646,0.06812056499984465,0.003415277999920363
Pilha (LinkedList),4800,0.003572204000192869,0.0019479530001262901,0.008296678000078828,0.002967273000649584
Pilha (LinkedList),4850,0.004028840000501077,0.001893868000479415,0.007356473000072583,0.0034982880006282357
Pilha (LinkedList),4900,0.003145435000078578,0.002119729999321862,0.007869551999647229,0.0029777820000163047
Pilha (LinkedList),4950,0.0035144829998898786,0.0016854440000315662,0.07111235499996837,0.003792239000176778
Pilha (LinkedList),5000,0.0037368519997471594,0.002087339999889082,0.006974058000196237,0.0038090959997134632
